topic,rank,keyword,score
0,1,family,0.016770102898958444
0,2,school,0.01201856738257065
0,3,love,0.012006528665927172
0,4,job,0.009996779899537912
0,5,young,0.008866832951422828
0,6,relationship,0.008789224963743719
0,7,comedy,0.0077253598261023335
0,8,friend,0.007690571843275754
0,9,friends,0.0075333009125370665
0,10,trying,0.0073163287070994
1,1,time,0.02445703766752123
1,2,mysterious,0.013581533855998711
1,3,human,0.01320604016442149
1,4,secret,0.011329201659966814
1,5,discover,0.011209564675386818
1,6,come,0.011209564675386818
1,7,live,0.010302149066946637
1,8,young,0.009821074801989309
1,9,magic,0.009659729800171397
1,10,worlds,0.00936656399599166
2,1,love,0.015767489261594037
2,2,mafia,0.015475373340761194
2,3,spy,0.01376032161929056
2,4,criminal,0.013614430500652119
2,5,young,0.013173356241565331
2,6,game,0.012665460016891238
2,7,gang,0.012665460016891238
2,8,skills,0.012261428202761075
2,9,revenge,0.012261428202761075
2,10,captain,0.010749314682618647
3,1,police,0.03520307082061619
3,2,cases,0.019545071590521775
3,3,detective,0.019035840885314112
3,4,serial,0.01657350738822315
3,5,dexter,0.016127335388972593
3,6,murder,0.014940636979869786
3,7,cop,0.014114772195116136
3,8,london,0.012098376167242403
3,9,crime,0.011775513114333776
3,10,criminal,0.011671946048744308
4,1,murder,0.02721330307047711
4,2,secrets,0.026941084319547774
4,3,young,0.025713570551307706
4,4,town,0.02144825602967938
4,5,accused,0.017656969575422576
4,6,hotel,0.01718994585266997
4,7,small,0.01699799514447212
4,8,killer,0.015093729942846081
4,9,maid,0.014819427913558598
4,10,grand hotel,0.014819427913558598
5,1,war,0.03805580533953122
5,2,political,0.02657558108438419
5,3,world war,0.022206204091414477
5,4,agent,0.01898255791741728
5,5,war ii,0.018320992116410705
5,6,ii,0.018320992116410705
5,7,family,0.016381007970641966
5,8,miep,0.014910066616393821
5,9,period,0.014251393573597726
5,10,long,0.013956734057056148
6,1,school,0.03472995757840756
6,2,love,0.02818982513398337
6,3,young,0.022710777748671772
6,4,old,0.02240137387548188
6,5,lena,0.02181472833807955
6,6,stef,0.02181472833807955
6,7,unlikely,0.017786293185270835
6,8,childhood,0.017468134452826505
6,9,age,0.016434034106418537
6,10,brother,0.016219131808098457
7,1,drug,0.038445377156146966
7,2,crime,0.035736532941622365
7,3,mob,0.026547848251401628
7,4,based,0.02643351445805059
7,5,look,0.02306722629368818
7,6,gang,0.02306722629368818
7,7,spanish thriller,0.02040104365232338
7,8,italian,0.02040104365232338
7,9,epidemic,0.02040104365232338
7,10,saviano,0.02040104365232338
8,1,family,0.04429679227951146
8,2,relu,0.03596878493828427
8,3,underworld,0.03273801554575062
8,4,mafia,0.03068199924289846
8,5,boss,0.02763052993178834
8,6,york,0.02565446234770251
8,7,escape,0.02301149943217385
8,8,tries,0.02301149943217385
8,9,prison,0.02047690060777192
8,10,pete,0.01998770846978716
9,1,doctor,0.06047336389601762
9,2,hospital,0.04524393748422736
9,3,medicine,0.03728164558853165
9,4,staff,0.03728164558853165
9,5,medical,0.03313476250917198
9,6,pain,0.02762301310524586
9,7,stay,0.02762301310524586
9,8,practice,0.02762301310524586
9,9,young doctor,0.02762301310524586
9,10,zoe,0.02762301310524586
10,1,century,0.033748678744077325
10,2,süleyman,0.029981218808630195
10,3,king,0.025574501178338767
10,4,epic,0.025117028067272854
10,5,war,0.025018593377617023
10,6,england,0.02363011900464523
10,7,jumong,0.023525171452645495
10,8,brahim,0.023525171452645495
10,9,ragnar,0.023525171452645495
10,10,history,0.023030996601768085
11,1,vampire,0.054141768805836564
11,2,reality,0.037851377859450974
11,3,michael,0.03254421843313181
11,4,supernatural,0.02916248776998487
11,5,creatures,0.027314239683813888
11,6,werewolf,0.027314239683813888
11,7,vampires,0.027314239683813888
11,8,mysterious,0.023594586267480115
11,9,dr,0.02150836688543647
11,10,dark,0.020577067914759346
